"year","site","burrow_name","week","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Crescent Harbor","8",29,48,0,1,48,48,NA,NA,1,NA,2
2008,"Double Bluff North","1",26,25,2,0,59,59,25,59,1,35,1
2008,"Double Bluff North","1",31,59,1,1,59,59,25,59,1,35,2
2008,"Double Bluff North","10",27,32,0,1,32,32,NA,NA,1,NA,2
2008,"Double Bluff North","11",28,39,1,0,NA,NA,39,39,NA,1,1
2008,"Double Bluff North","12",28,39,1,0,NA,NA,39,39,NA,1,1
2008,"Double Bluff North","13",28,39,1,0,NA,NA,39,39,NA,1,1
2008,"Double Bluff North","14",28,39,1,0,NA,NA,39,39,NA,1,1
2008,"Double Bluff North","15",28,39,1,1,39,39,39,53,1,15,2
2008,"Double Bluff North","15",30,53,3,0,39,39,39,53,1,15,1
2008,"Double Bluff North","16",30,53,2,0,39,59,39,53,21,15,1
2008,"Double Bluff North","16",29,47,0,1,39,59,39,53,21,15,2
2008,"Double Bluff North","16",28,39,3,1,39,59,39,53,21,15,2
2008,"Double Bluff North","16",31,59,0,1,39,59,39,53,21,15,2
2008,"Double Bluff North","17",29,47,0,1,47,47,NA,NA,1,NA,2
2008,"Double Bluff North","18",30,53,0,2,53,59,39,39,7,1,2
2008,"Double Bluff North","18",28,39,3,0,53,59,39,39,7,1,1
2008,"Double Bluff North","18",31,59,0,2,53,59,39,39,7,1,2
2008,"Double Bluff North","19",28,39,0,1,39,53,NA,NA,15,NA,2
2008,"Double Bluff North","19",30,53,0,1,39,53,NA,NA,15,NA,2
2008,"Double Bluff North","2",26,25,1,0,39,39,25,47,1,23,1
2008,"Double Bluff North","2",27,32,1,0,39,39,25,47,1,23,1
2008,"Double Bluff North","2",28,39,1,1,39,39,25,47,1,23,2
2008,"Double Bluff North","2",29,47,1,0,39,39,25,47,1,23,1
2008,"Double Bluff North","20",30,53,1,1,53,67,47,53,15,7,2
2008,"Double Bluff North","20",29,47,1,0,53,67,47,53,15,7,1
2008,"Double Bluff North","20",32,67,0,1,53,67,47,53,15,7,2
2008,"Double Bluff North","21",30,53,0,1,47,59,47,47,13,1,2
2008,"Double Bluff North","21",29,47,1,1,47,59,47,47,13,1,2
2008,"Double Bluff North","21",31,59,0,1,47,59,47,47,13,1,2
2008,"Double Bluff North","22",30,53,1,0,NA,NA,53,53,NA,1,1
2008,"Double Bluff North","23",30,53,0,1,53,75,NA,NA,23,NA,2
2008,"Double Bluff North","23",33,75,0,1,53,75,NA,NA,23,NA,2
2008,"Double Bluff North","24",30,53,0,2,53,53,NA,NA,1,NA,2
2008,"Double Bluff North","25",31,59,0,1,59,59,NA,NA,1,NA,2
2008,"Double Bluff North","26",33,75,0,1,75,75,NA,NA,1,NA,2
2008,"Double Bluff North","27",33,75,0,1,75,75,NA,NA,1,NA,2
2008,"Double Bluff North","3",29,47,1,0,NA,NA,25,67,NA,43,1
2008,"Double Bluff North","3",28,39,2,0,NA,NA,25,67,NA,43,1
2008,"Double Bluff North","3",30,53,1,0,NA,NA,25,67,NA,43,1
2008,"Double Bluff North","3",26,25,2,0,NA,NA,25,67,NA,43,1
2008,"Double Bluff North","3",32,67,1,0,NA,NA,25,67,NA,43,1
2008,"Double Bluff North","4",30,53,3,1,39,67,25,53,29,29,2
2008,"Double Bluff North","4",27,32,1,0,39,67,25,53,29,29,1
2008,"Double Bluff North","4",28,39,1,1,39,67,25,53,29,29,2
2008,"Double Bluff North","4",32,67,0,2,39,67,25,53,29,29,2
2008,"Double Bluff North","4",26,25,1,0,39,67,25,53,29,29,1
2008,"Double Bluff North","5",26,25,1,0,NA,NA,25,25,NA,1,1
2008,"Double Bluff North","6",26,25,1,0,NA,NA,25,25,NA,1,1
2008,"Double Bluff North","7",28,39,1,0,NA,NA,25,39,NA,15,1
2008,"Double Bluff North","7",26,25,1,0,NA,NA,25,39,NA,15,1
2008,"Double Bluff North","7",27,32,1,0,NA,NA,25,39,NA,15,1
2008,"Double Bluff North","8",27,32,0,1,32,39,NA,NA,8,NA,2
2008,"Double Bluff North","8",28,39,0,1,32,39,NA,NA,8,NA,2
2008,"Double Bluff North","9",30,53,0,2,32,59,32,32,28,1,2
2008,"Double Bluff North","9",31,59,0,1,32,59,32,32,28,1,2
2008,"Double Bluff North","9",28,39,0,1,32,59,32,32,28,1,2
