"site","date","intern_data","start_time","end_time","PG_count","burrow_count","burrow_visit.x","qaqc","mult_count","burrow_name","Gunnel","Sculpin","Other","burrow_visit.y","qaqc_concern"
"Harrington South",2010-07-15,"Y","7:55","16",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","8:20","11",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","8:20","11",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","6:55","15",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","6:55","15",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","8:50","17",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","8:50","17",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","7:25","19",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","7:25","19",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","9:50","21",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","9:50","21",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","10:20","20",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","10:20","20",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-15,"Y","9:25","17",0,0,0,"","Y","6a",6,1,0,0,""
"Harrington South",2010-07-15,"Y","9:25","17",0,0,0,"","Y","2",2,1,0,0,""
"Harrington South",2010-07-22,"Y","5:30","30",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","5:30","30",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","5:30","30",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","10:30","13",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","10:30","13",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","10:30","13",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","10:00","13",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","10:00","13",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","10:00","13",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","8:00","13",0,0,0,"","Y","25",1,0,0,0,""
