"year","site","burrow_name","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Hancock Lake","12",59,9,1,54,59,45,64,6,20,2
2008,"Hancock Lake","12",45,1,0,54,59,45,64,6,20,1
2008,"Hancock Lake","12",54,0,2,54,59,45,64,6,20,2
2008,"Hancock Lake","12",45,1,0,54,59,45,64,6,20,1
2008,"Hancock Lake","12",64,4,0,54,59,45,64,6,20,3
2008,"Hancock Lake","13",45,2,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","13",45,2,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","14",45,1,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","14",45,1,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","15",45,1,0,59,59,45,64,1,20,1
2008,"Hancock Lake","15",59,6,1,59,59,45,64,1,20,2
2008,"Hancock Lake","15",64,6,0,59,59,45,64,1,20,3
2008,"Hancock Lake","15",45,1,0,59,59,45,64,1,20,1
2008,"Hancock Lake","16",54,1,0,NA,NA,54,64,NA,11,3
2008,"Hancock Lake","16",64,5,0,NA,NA,54,64,NA,11,3
2008,"Hancock Lake","17",59,2,0,NA,NA,59,64,NA,6,3
2008,"Hancock Lake","17",64,2,0,NA,NA,59,64,NA,6,3
2008,"Hancock Lake","2",59,4,0,30,64,40,64,35,25,3
2008,"Hancock Lake","2",45,6,0,30,64,40,64,35,25,3
2008,"Hancock Lake","2",30,0,1,30,64,40,64,35,25,2
2008,"Hancock Lake","2",64,5,1,30,64,40,64,35,25,2
2008,"Hancock Lake","2",40,5,0,30,64,40,64,35,25,3
2008,"Hancock Lake","2",45,6,0,30,64,40,64,35,25,3
2008,"Hancock Lake","3",30,1,0,NA,NA,30,64,NA,35,3
2008,"Hancock Lake","3",64,3,0,NA,NA,30,64,NA,35,3
2008,"Hancock Lake","3",40,3,0,NA,NA,30,64,NA,35,3
2008,"Hancock Lake","4",59,3,0,45,45,40,64,1,25,3
2008,"Hancock Lake","4",40,3,0,45,45,40,64,1,25,1
2008,"Hancock Lake","4",45,3,0,45,45,40,64,1,25,3
2008,"Hancock Lake","4",54,1,0,45,45,40,64,1,25,3
2008,"Hancock Lake","4",45,3,1,45,45,40,64,1,25,2
2008,"Hancock Lake","4",64,2,0,45,45,40,64,1,25,3
2008,"Hancock Lake","5",40,6,0,59,59,40,64,1,25,1
2008,"Hancock Lake","5",45,3,0,59,59,40,64,1,25,1
2008,"Hancock Lake","5",59,5,1,59,59,40,64,1,25,2
2008,"Hancock Lake","5",64,4,0,59,59,40,64,1,25,3
2008,"Hancock Lake","5",45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","6",45,8,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",59,15,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",40,5,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",45,8,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",64,6,1,64,64,40,64,1,25,2
2008,"Hancock Lake","7",59,4,1,59,59,40,64,1,25,2
2008,"Hancock Lake","7",45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","7",64,8,0,59,59,40,64,1,25,3
2008,"Hancock Lake","7",40,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","7",45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","8",59,2,1,45,59,45,64,15,20,2
2008,"Hancock Lake","8",54,1,0,45,59,45,64,15,20,3
2008,"Hancock Lake","8",45,5,2,45,59,45,64,15,20,2
2008,"Hancock Lake","8",45,5,2,45,59,45,64,15,20,2
2008,"Hancock Lake","8",64,14,0,45,59,45,64,15,20,3
2008,"Hancock Lake","9",59,1,0,45,45,45,64,1,20,3
2008,"Hancock Lake","9",64,4,0,45,45,45,64,1,20,3
2008,"Hancock Lake","9",45,4,1,45,45,45,64,1,20,2
2008,"Hancock Lake","9",45,4,1,45,45,45,64,1,20,2
2008,"Hancock Lake","A",39,1,0,NA,NA,39,39,NA,1,3
2008,"Hancock Lake","C",60,0,1,60,60,NA,NA,1,NA,2
2008,"Hancock Lake","D",45,1,0,NA,NA,39,45,NA,7,3
2008,"Hancock Lake","D",39,1,0,NA,NA,39,45,NA,7,3
2008,"Hancock Lake","E",45,1,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","H",60,0,1,60,60,NA,NA,1,NA,2
2008,"Hancock Lake","J",39,1,1,39,39,39,39,1,1,2
2008,"Hancock Lake","K",45,1,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","L",60,1,2,60,60,60,60,1,1,2
2008,"Harrington North","1",54,0,3,47,54,NA,NA,8,NA,2
2008,"Harrington North","1",47,0,2,47,54,NA,NA,8,NA,2
2008,"Harrington North","2",38,0,3,38,54,NA,NA,17,NA,2
2008,"Harrington North","2",54,0,3,38,54,NA,NA,17,NA,2
