"year","site","week","PG_count"
2010,"Hancock Lake",27,59
2010,"Harrington North",26,27
2010,"Harrington North",27,32
2010,"Harrington North",30,25
2010,"Harrington North",28,22
2010,"Harrington North",29,24
2010,"Harrington North",31,19
2010,"Harrington North",32,37
2010,"Harrington South",25,21
2010,"Harrington South",28,16
2010,"Harrington South",29,13
2010,"Harrington South",30,18
2010,"Harrington South",31,12
2010,"Harrington South",32,17
2010,"Hastie Lake",25,23
2010,"Hastie Lake",29,29
2010,"Hastie Lake",30,32
2010,"Hastie Lake",31,16
2010,"Keystone",26,45
2010,"Keystone",27,25
2010,"Keystone",28,24
2010,"Keystone",29,24
2010,"Keystone",30,25
2010,"Lagoon North #1",26,38
2010,"Lagoon North #1",27,53
2010,"Lagoon North #1",28,45
2010,"Lagoon North #1",29,49
2010,"Lagoon North #1",32,49
2010,"Lagoon North #2",26,8
2010,"Lagoon North #2",27,9
2010,"Lagoon North #2",28,9
2010,"Lagoon North #2",29,14
2010,"Lagoon North #2",30,12
2010,"Lagoon North #2",31,9
2010,"Lagoon North #3",26,18
2010,"Lagoon North #3",27,23
2010,"Lagoon North #3",28,28
2010,"Lagoon North #3",29,23
2010,"Lagoon North #3",30,15
2010,"Lagoon North #3",32,14
2010,"Lagoon South",26,37
2010,"Lagoon South",28,28
2010,"Lagoon South",31,24
2010,"Lagoon South",32,44
2010,"Ledgewood",26,37
2010,"Ledgewood",27,31
2010,"Ledgewood",28,29
2010,"Ledgewood",29,36
2010,"Ledgewood",30,41
2010,"Ledgewood",31,33
2010,"Ledgewood",27,33
2010,"Limpet Lane",26,28
2010,"Limpet Lane",28,28
2010,"Limpet Lane",29,18
2010,"Limpet Lane",30,35
2010,"Limpet Lane",32,25
2010,"Malmo Bluff",26,32
2010,"Malmo Bluff",28,33
2010,"Malmo Bluff",29,25
2010,"Malmo Bluff",30,29
2010,"Malmo Bluff",32,40
2010,"Maylor Point",31,127
2010,"Monroe Landing",26,12
2010,"Monroe Landing",27,10
2010,"Monroe Landing",28,14
2010,"Monroe Landing",31,15
2010,"Mutiny Sands",26,32
2010,"Mutiny Sands",27,24
2010,"Mutiny Sands",28,24
2010,"Mutiny Sands",30,26
2010,"Mutiny Sands",31,32
2010,"Mutiny Sands",32,17
2010,"Possession Point",25,24
2010,"Possession Point",26,20
2010,"Possession Point",27,15
2010,"Possession Point",28,20
2010,"Possession Point",30,25
2010,"Possession Point",32,17
2010,"Pratts Bluff",26,37
2010,"Pratts Bluff",27,20
