site,ymd,start_time,pg_count,count_type,internOnly
Rolling Hills #1,7/26/16,8:05,34,pg,
Mutiny Sands- INTERN,7/21/16,6:00,49,pg,on
Pratts Bluff- INTERN,7/18/16,6:00,33,pg,on
Pratts Bluff- INTERN,7/20/16,6:00,30,pg,on
Pratts Bluff- INTERN,7/23/16,6:00,39,pg,on
Langley Marina,7/27/16,728,2,pg,
Hastie Lake South,7/26/16,7:37,23,pg,
Lagoon North #0,7/26/16,7:20,30,pg,
Harrington South,7/28/16,7:07,17,pg,
Lagoon North #0,7/10/16,8:04,19,pg,
Monroe Landing,7/27/16,650,10,pg,
Malmo Bluff,7/28/16,7:50,17,pg,
Fort Casey North,7/23/16,8:30,60,pg,
Shore Meadows,7/29/16,655,29,pg,
Pratts Bluff,7/22/16,7:50,26,pg,
Pratts Bluff,7/29/16,7:50,26,pg,
Fort Casey North,7/30/16,8:40,24,pg,
Lagoon Point South,7/28/16,7:45,34,pg,
Mutiny Sands- INTERN,7/25/16,6:00,41,pg,on
Mutiny Sands- INTERN,7/27/16,6:00,20,pg,on
Mutiny Sands- INTERN,7/29/16,6:00,24,pg,on
Pratts Bluff- INTERN,7/26/16,6:00,33,pg,on
Pratts Bluff- INTERN,7/28/16,6:00,24,pg,on
Pratts Bluff- INTERN,8/1/16,6:00,30,pg,on
Rolling Hills #3,6/25/16,8:15,48,pg,
Rolling Hills #3,7/1/16,8:00,28,pg,
Rolling Hills #3,7/9/16,8:10,42,pg,
Harrington North,7/28/16,722,20,pg,
Harrington North,8/2/16,805,15,pg,
Lake Hancock North,8/2/16,7:20,68,pg,
Swantown,7/29/16,8:12,25,pg,
Swantown,8/2/16,8:15,31,pg,
Monroe Landing,8/1/16,635,9,pg,
Cliffside,8/1/16,725,8,pg,
Rolling Hills #1,8/2/16,8:07,5,pg,
Lagoon North #1,8/1/16,7:53,34,pg,
Ledgewood,7/28/16,8:00,39,pg,
Langley Marina,8/4/16,715,3,pg,
Lagoon Point South,8/4/16,7:45,21,pg,
Bush Point Dock,7/28/16,7:30,5,pg,
Bush Point Dock,8/4/16,7:30,3,pg,
Rolling Hills #3,7/28/16,7:15,32,pg,
Clinton Ferry Dock,7/8/16,7:45,15,pg,
Clinton Ferry Dock,7/26/16,8:30,14,pg,
Clinton Ferry Dock,7/29/16,7:40,6,pg,
Lagoon North #1,6/16/16,8:00,58,pg,
Malmo Bluff,8/4/16,7:45,27,pg,
Mutiny Sands,8/4/16,740,42,pg,
Shore Meadows,8/5/16,700,69,pg,
Keystone,8/1/16,8:30,18,pg,
Fort Casey North,8/6/16,8:50,35,pg,
Harrington South,8/5/16,815,23,pg,
Lagoon North #0,8/4/16,7:29,26,pg,
Lake Hancock North,8/8/16,6:20,65,pg,
Hastie Lake South,8/2/16,7:38,18,pg,
Hastie Lake South,8/8/16,7:32,40,pg,
Pratts Bluff- INTERN,8/3/16,6:00,27,pg,on
Pratts Bluff- INTERN,8/5/16,6:00,28,pg,on
Mutiny Sands- INTERN,8/2/16,6:00,38,pg,on
Mutiny Sands- INTERN,8/4/16,6:00,53,pg,on
Mutiny Sands- INTERN,8/8/16,6:00,42,pg,on
Cliffside,8/8/16,7:45,18,pg,
Lagoon North #0,8/9/16,7:58,15,pg,
Monroe Landing,8/8/16,707,5,pg,
Forbes Point,7/26/16,7:32,18,pg,
Forbes Point,8/1/16,7:17,2,pg,
Forbes Point,8/8/16,7:20,16,pg,
Langley Marina,8/10/16,730,2,pg,
Rolling Hills #3,8/5/16,7:40,79,pg,
Clinton Ferry Dock,7/19/16,8:00,3,pg,
Limpet Lane,8/11/16,715,17,pg,
Limpet Lane,8/3/16,715,37,pg,
Lagoon Point South,8/11/16,7:45,16,pg,
Keystone,8/11/16,748,35,pg,
Limpet Lane,7/27/16,715,3,pg,
Rolling Hills #1,8/9/16,8,29,pg,
Cliffside,7/25/16,7:35,21,pg,
Mutiny Sands,7/21/16,7:35,51,pg,
Mutiny Sands,7/28/16,7:35,34,pg,
Mutiny Sands,8/11/16,7:40,37,pg,
Double Bluff South,6/29/16,7:30,5,pg,
Double Bluff South,7/6/16,6:50,9,pg,
Double Bluff South,7/20/16,7:25,8,pg,
Double Bluff South,7/13/16,7:45,9,pg,
Clinton Ferry Dock,8/12/16,7:45,6,pg,
Double Bluff North,7/29/16,8:14,45,pg,
Double Bluff North,8/5/16,8:10,62,pg,
Double Bluff North,8/12/16,8:00,21,pg,
Shore Meadows,8/12/16,700,19,pg,
Lagoon North #1,8/5/16,7:50,71,pg,
Lagoon North #1,8/12/16,7:50,40,pg,
Malmo Bluff,8/11/16,7:45,6,pg,
Fort Casey North,8/13/16,8:45,39,pg,
Harrington North,8/11/16,731,22,pg,
Keystone,8/15/16,8:30,20,pg,
Hastie Lake South,8/15/16,7:32,3,pg,
Harrington South,8/15/16,820,11,pg,
Swantown,8/12/16,8:15,3,pg,
Rolling Hills #1,8/16/16,8:08,3,pg,
Lake Hancock North,8/16/16,7:55,52,pg,
Monroe Landing,8/15/16,720,5,pg,
Ledgewood,8/4/16,8:00,31,pg,
Ledgewood,8/11/16,805,30,pg,
Harrington North,8/17/16,7:55,3,pg,
Lagoon Point South,8/18/16,7:45,9,pg,
Mutiny Sands,8/18/16,7:30,26,pg,
Bush Point Dock,8/12/16,7:30,6,pg,
Bush Point Dock,8/19/16,7:30,3,pg,
Mutiny Sands- INTERN,8/10/16,6:00,23,pg,on
Mutiny Sands- INTERN,8/12/16,6:00,11,pg,on
Mutiny Sands- INTERN,8/18/16,6:00,25,pg,on
Pratts Bluff- INTERN,8/9/16,6:30,21,pg,on
Pratts Bluff- INTERN,8/11/16,7:30,13,pg,on
Double Bluff North,8/19/16,8:00,29,pg,
Lagoon North #0,8/18/16,7:30,28,pg,
Shore Meadows,8/19/16,7:45,4,pg,
Malmo Bluff,8/18/16,7:30,14,pg,
Lagoon North #1,8/18/16,8:00,14,pg,
Harrington South,8/22/16,7:55,9,pg,
Hastie Lake South,8/23/16,7:36,8,pg,
Langley Marina,8/24/16,750,5,pg,
Langley Marina,8/17/16,750,5,pg,
Clinton Ferry Dock,8/5/16,8:15,4,pg,
Rolling Hills #3,8/13/16,8:00,3,pg,
Maylor Point,7/26/16,8:00,22,pg,
Maylor Point,8/1/16,8:00,6,pg,
Maylor Point,8/8/16,8:00,12,pg,
Maylor Point,8/16/16,8:00,8,pg,
Possession Point,7/24/16,7:53,13,pg,
Possession Point,7/31/16,7:40,6,pg,
Possession Point,8/7/16,7:45,19,pg,
Possession Point,8/14/16,7:45,1,pg,
Lagoon Point South,8/25/16,7:45,2,pg,
Fort Casey North,8/20/16,8:30,3,pg,
Clinton Ferry Dock,8/26/16,7:55,3,pg,
Clinton Ferry Dock,8/22/16,8:30,2,pg,
Lagoon North #0,8/25/16,7:30,2,pg,
Double Bluff South,8/10/16,7:30,8,pg,
Double Bluff South,8/16/16,8:15,2,pg,
Cliffside,8/22/16,6:40,16,pg,
Cliffside,8/15/16,7:40,2,pg,
Double Bluff South,8/3/16,7:40,9,pg,
Double Bluff South,8/27/16,7:40,4,pg,
Bush Point Dock,8/26/16,7:40,3,pg,
Hastie Lake South,8/30/16,7:05,1,pg,
Swantown,8/19/16,8:15,8,pg,
Harrington North,8/24/16,750,4,pg,
Rolling Hills #3,8/19/16,8:07,9,pg,
Limpet Lane,8/17/16,715,24,pg,
Ledgewood,9/26/16,7:50,10,pg,
Ledgewood,9/2/16,7:00,6,pg,
Keystone,8/22/16,8:30,15,pg,
Langley Marina,7/11/17,703,3,pg,
Langley Marina,7/18/17,710,5,pg,
Lagoon Point South,6/25/15,9:00,29,pg,
Lagoon Point South,7/2/15,9:00,9,pg,
Lagoon Point South,7/9/15,8:45,39,pg,
Lagoon Point South,7/16/15,8:48,30,pg,
Pratts Bluff- INTERN,7/17/15,6:00,34,pg,on
Libby North/Sierra,7/17/15,8:45,15,pg,
Pratts Bluff- INTERN,6/29/15,6:00,23,pg,on
Pratts Bluff- INTERN,7/1/15,6:07,18,pg,on
Pratts Bluff- INTERN,7/3/15,6:00,28,pg,on
Pratts Bluff- INTERN,7/7/15,6:00,37,pg,on
Pratts Bluff- INTERN,7/9/15,6:00,29,pg,on
Pratts Bluff- INTERN,7/13/15,6:00,32,pg,on
Maylor Point,7/13/15,7:29,6,pg,
Monroe Landing,7/8/15,625,6,pg,
Monroe Landing,7/15/15,620,4,pg,
Hastie Lake South,7/18/15,7:45,37,pg,
Hastie Lake South,7/10/15,7:45,32,pg,
Hastie Lake South,7/3/15,7:45,27,pg,
Hastie Lake South,6/26/15,7:45,16,pg,
Keystone,7/17/15,8:10,67,pg,
Harrington South,7/19/15,715,14,pg,
Fort Casey North,7/17/15,7:25,32,pg,
Fort Casey North,7/17/15,7::25,32,pg,
Mutiny Sands- INTERN,7/20/15,6:00,47,pg,on
Mutiny Sands- INTERN,7/6/15,6:00,47,pg,on
Mutiny Sands- INTERN,7/8/15,6:00,45,pg,on
Swantown,7/20/15,8:45,30,pg,
Mutiny Sands- INTERN,7/10/15,6:00,36,pg,on
Mutiny Sands- INTERN,7/14/15,6:00,40,pg,on
Ledgewood,6/25/15,7:55,36,pg,
Ledgewood,7/3/15,8:15,43,pg,
Ledgewood,7/11/15,7:50,32,pg,
Ledgewood,7/16/15,7:45,35,pg,
Ledgewood,7/21/15,7:56,42,pg,
Shore Meadows,7/22/15,630,89,pg,
Keystone,7/22/15,7:35,59,pg,
Hastie Lake South,7/22/15,7:35,35,pg,
Mutiny Sands- INTERN,7/22/15,6:00,44,pg,on
Pratts Bluff- INTERN,7/21/15,6:00,42,pg,on
Pratts Bluff,7/21/15,7:45,30,pg,
Mutiny Sands,6/23/15,815,40,pg,
Mutiny Sands,6/30/15,8:15,15,pg,
Mutiny Sands,7/7/15,8:20,45,pg,
Mutiny Sands,7/14/15,9:05,10,pg,
Mutiny Sands,7/21/15,7:30,47,pg,
Forbes Point,7/20/15,9:00,12,pg,
Maylor Point,7/23/15,7:10,9,pg,
Rolling Hills #1,7/22/15,8:13,45,pg,
Mutiny Sands- INTERN,7/24/15,6:00,38,pg,on
Pratts Bluff- INTERN,7/23/15,6:00,28,pg,on
Libby North/Sierra,7/25/15,8:50,13,pg,
Lagoon Point South,7/23/15,8:30,36,pg,
Monroe Landing,7/21/15,645,10,pg,
Fort Casey North,7/24/15,7:35,32,pg,
Harrington North,7/16/15,6:55,20,pg,
Harrington North,7/23/15,7:47,19,pg,
Lagoon North #0,7/10/15,6:45,30,pg,
Lagoon North #0,7/18/15,8:15,31,pg,
Lagoon North #0,7/26/15,8:45,25,pg,
Lagoon North #1,7/24/15,825,34,pg,
Harrington South,7/27/15,805,17,pg,
Mutiny Sands,7/28/15,7:30,10,pg,
Lagoon North #1,7/28/15,820,40,pg,
Possession Point,6/20/15,800,21,pg,
Possession Point,6/28/15,7:56,8,pg,
Possession Point,7/5/15,7:57,19,pg,
Possession Point,7/12/15,7:54,10,pg,
Possession Point,7/19/15,8:00,14,pg,
Double Bluff North,6/26/15,8:20,40,pg,
Double Bluff North,7/3/15,8:15,41,pg,
Double Bluff North,7/10/15,7:55,52,pg,
Double Bluff North,7/17/15,8:10,57,pg,
Double Bluff North,7/24/15,8:12,51,pg,
Pratts Bluff,7/28/15,7:40,25,pg,
Rolling Hills #1,7/29/15,8:05,29,pg,
Pratts Bluff- INTERN,7/27/15,6:00,26,pg,on
Shore Meadows,7/29/15,700,64,pg,
Pratts Bluff- INTERN,7/29/15,6:00,28,pg,on
Mutiny Sands- INTERN,7/28/15,6:00,18,pg,on
Hastie Lake South,7/29/15,7:35,9,pg,
Lagoon Point South,7/30/15,8:30,23,pg,
Monroe Landing,7/28/15,730,6,pg,
Fort Casey North,7/29/15,8:50,34,pg,
Mutiny Sands- INTERN,7/30/15,6:00,54,pg,on
Malmo Bluff,6/22/15,8:40,25,pg,
Malmo Bluff,6/29/15,8:20,27,pg,
Malmo Bluff,7/11/15,7:50,24,pg,
Malmo Bluff,7/17/15,7:40,31,pg,
Malmo Bluff,7/23/15,8:25,32,pg,
Keystone,7/31/15,7:45,25,pg,
Maylor Point,7/31/15,7:28,4,pg,
Forbes Point,7/31/15,8:55,6,pg,
Malmo Bluff,7/31/15,7:50,47,pg,
Harrington North,7/30/15,700,22,pg,
Double Bluff North,7/31/15,8:14,35,pg,
Libby North/Sierra,8/1/15,8:45,10,pg,
Swantown,7/31/15,8:10,12,pg,
Swantown,8/3/15,8:35,11,pg,
Mutiny Sands,8/4/15,7:30,38,pg,
Maylor Point,8/3/15,7:24,6,pg,
Forbes Point,8/3/15,8:43,10,pg,
Harrington South,8/3/15,745,22,pg,
Lagoon North #0,8/1/15,7:50,18,pg,
Keystone,8/5/15,7:25,55,pg,
Rolling Hills #1,8/5/15,8:10,45,pg,
Hastie Lake South,8/5/15,7:35,22,pg,
Double Bluff South,6/24/15,8:00,4,pg,
Double Bluff South,7/1/15,7:30,3,pg,
Double Bluff South,7/7/15,7:20,8,pg,
Double Bluff South,7/15/15,7:20,11,pg,
Double Bluff South,7/22/15,7:20,11,pg,
Lagoon Point South,8/6/15,8:30,44,pg,
Shore Meadows,8/5/15,700,107,pg,
Monroe Landing,8/4/15,645,12,pg,
Libby North/Sierra,8/6/15,8:45,9,pg,
Malmo Bluff,8/5/15,7:50,44,pg,
Pratts Bluff,8/4/15,7:25,27,pg,
Mutiny Sands- INTERN,8/3/15,6:00,57,pg,on
Pratts Bluff- INTERN,8/4/15,6:00,35,pg,on
Pratts Bluff- INTERN,8/6/15,6:00,26,pg,on
Lagoon North #0,8/7/15,7:45,22,pg,
Mutiny Sands- INTERN,8/5/15,6:00,44,pg,on
Mutiny Sands- INTERN,8/7/15,6:00,23,pg,on
Lagoon North #1,8/7/15,810,46,pg,
Limpet Lane,8/9/15,8:00,15,pg,
Hastie Lake South,8/11/15,7:35,21,pg,
Pratts Bluff,8/11/15,7,7,pg,
Mutiny Sands,8/11/15,7:40,5,pg,
Ledgewood,8/1/15,7:30,43,pg,
Ledgewood,8/6/15,0.540729167,43,pg,
Keystone,8/12/15,7:20,11,pg,
Lagoon North #0,8/12/15,8:00,20,pg,
Shore Meadows,8/12/15,700,55,pg,
Harrington South,8/13/15,700,19,pg,
Swantown,8/13/15,8:10,9,pg,
Rolling Hills #1,8/12/15,8,6,pg,
Double Bluff South,7/30/15,7:10,14,pg,
Double Bluff South,8/5/15,7:15,10,pg,
Limpet Lane,8/14/15,7:00,18,pg,
Lagoon Point South,8/13/15,8:00,28,pg,
Pratts Bluff- INTERN,8/10/15,6:00,13,pg,on
Pratts Bluff- INTERN,8/12/15,6:00,17,pg,on
Pratts Bluff- INTERN,8/14/15,6:00,3,pg,on
Mutiny Sands- INTERN,8/11/15,6:00,4,pg,on
Mutiny Sands- INTERN,8/13/15,6:00,36,pg,on
Double Bluff South,8/11/15,7:20,8,pg,
Lagoon North #1,8/14/15,820,43,pg,
Libby North/Sierra,8/15/15,8:45,5,pg,
Monroe Landing,8/11/15,755,8,pg,
Monroe Landing,8/17/15,700,10,pg,
Forbes Point,8/14/15,7:13,10,pg,
Harrington South,8/18/15,7:40,14,pg,
Forbes Point,8/18/15,7:18,5,pg,
Hastie Lake South,8/18/15,7:35,34,pg,
Keystone,8/18/15,7:40,42,pg,
Mutiny Sands,8/18/15,7:30,8,pg,
Ledgewood,8/13/15,7:42,24,pg,
Lagoon Point South,8/20/15,8:30,11,pg,
Shore Meadows,8/19/15,700,39,pg,
Swantown,8/18/15,8:45,36,pg,
Mutiny Sands- INTERN,8/17/15,6:00,4,pg,on
Mutiny Sands- INTERN,8/21/15,6:00,5,pg,on
Mutiny Sands- INTERN,8/19/15,6:00,2,pg,on
Pratts Bluff- INTERN,8/20/15,6:00,2,pg,on
Pratts Bluff- INTERN,8/18/15,6:00,7,pg,on
Harrington North,8/7/15,7:40,16,pg,
Harrington North,8/14/15,8:05,11,pg,
Harrington North,8/21/15,8:15,6,pg,
Lagoon North #1,8/20/15,820,22,pg,
Libby North/Sierra,8/22/15,8:45,5,pg,
Fort Casey North,8/15/15,8:55,14,pg,
Fort Casey North,8/23/15,8:05,2,pg,
Double Bluff North,8/7/15,8:15,43,pg,
Swantown,8/24/15,8:10,1,pg,
Hastie Lake South,8/25/15,7:35,7,pg,
Forbes Point,6/26/15,8:52,13,pg,
Cliffside,6/22/15,7:05,16,pg,
Cliffside,6/29/15,7:25,9,pg,
Cliffside,7/6/15,7:15,33,pg,
Cliffside,7/20/15,7:20,27,pg,
Cliffside,8/10/15,7:30,14,pg,
Cliffside,8/17/15,7:40,6,pg,
Coupeville Wharf,6/25/15,7:45,8,pg,
Coupeville Wharf,7/2/15,7:45,7,pg,
Coupeville Wharf,7/7/15,8:00,8,pg,
Coupeville Wharf,7/14/15,7:30,4,pg,
Ledgewood,7/29/15,7:35,26,pg,
Cliffside,7/28/15,7:55,12,pg,
Cliffside,8/4/15,8:00,28,pg,
Lagoon North #0,6/23/15,7:45,4,pg,
Lagoon North#2,7/24/15,8:25,26,pg,
Lagoon North#2,7/28/15,8:20,40,pg,
Maylor Point,6/26/15,7:22,7,pg,
Monroe Landing,6/17/15,6:30,9,pg,
Shore Meadows,8/26/15,655,2,pg,
Pratts Bluff,6/23/15,7:46,25,pg,
Pratts Bluff,6/30/15,7:40,17,pg,
Pratts Bluff,7/7/15,7:45,33,pg,
Pratts Bluff,7/14/15,7:45,18,pg,
Rolling Hills #3,6/23/15,8:40,59,pg,
Rolling Hills #3,6/30/15,8:25,36,pg,
Rolling Hills #3,7/7/15,7:55,60,pg,
Rolling Hills #3,7/14/15,8:10,24,pg,
Rolling Hills #3,7/21/15,7:45,64,pg,
Rolling Hills #3,7/30/15,7:30,23,pg,
Rolling Hills #3,8/6/15,7:30,39,pg,
Lagoon Point South,8/27/15,8:30,2,pg,
Rolling Hills #3,8/13/15,8:00,9,pg,
Mutiny Sands- INTERN,8/25/15,6:00,2,pg,on
Mutiny Sands- INTERN,8/27/15,6:00,2,pg,on
Lagoon North #0,8/28/15,7:12,5,pg,
Malmo Bluff,8/20/15,7:45,17,pg,
Malmo Bluff,8/12/15,7:25,30,pg,
Malmo Bluff,8/27/15,7:30,3,pg,
Swantown,9/1/15,8:10,10,pg,
Swantown,9/1/15,8:10,10,pg,
Hastie Lake South,9/1/15,7:35,2,pg,
Double Bluff North,8/13/15,8:14,28,pg,
Double Bluff North,8/21/15,8:14,10,pg,
Hastie Lake South,9/8/15,7:10,2,pg,
Forbes Point,8/28/15,7:43,4,pg,
Lagoon North #1,8/27/15,820,4,pg,
Swantown,9/11/15,8:10,5,pg,
Ledgewood,8/22/15,7:28,17,pg,
Hastie Lake South,9/14/15,7:40,3,pg,
Harrington North,8/26/15,7:23,8,pg,
Possession Point,7/29/15,7:55,5,pg,
Possession Point,8/3/15,7:45,21,pg,
Possession Point,8/9/15,801,23,pg,
Possession Point,8/16/15,7:55,11,pg,
Possession Point,8/23/15,7:55,1,pg,
Swantown,9/15/15,8:30,8,pg,
Harrington South,6/25/15,730,12,pg,
Harrington South,7/1/15,720,15,pg,
Harrington South,7/6/15,730,18,pg,
Swantown,7/2/15,8:20,8,pg,
Swantown,6/26/15,8:25,14,pg,
Harrington North,6/26/15,722,9,pg,
Harrington North,7/3/15,718,17,pg,
Keystone,6/24/15,7:25,86,pg,
Keystone,7/1/15,7:50,39,pg,
Libby North/Sierra,6/23/15,8:45,10,pg,
Libby North/Sierra,7/1/15,8:30,13,pg,
Maylor Point,7/3/15,7:37,13,pg,
Shore Meadows,6/24/15,7:10,76,pg,
Shore Meadows,7/1/15,7:00,49,pg,
Shore Meadows,7/8/15,7:00,90,pg,
Forbes Point,7/3/15,9:00,6,pg,
Swantown,7/10/15,8:10,18,pg,
Rolling Hills #1,6/24/15,8:12,61,pg,
Rolling Hills #2,6/24/15,8:12,n/a,pg,
Maylor Point,7/10/15,7:27,13,pg,
Rolling Hills #1,7/1/15,8:05,31,pg,
Swantown,6/9/15,7:50,6,pg,
Forbes Point,7/10/15,8:55,17,pg,
Rolling Hills #2,7/1/15,8:05,n/a,pg,
Rolling Hills #1,7/8/15,7:55,40,pg,
Rolling Hills #2,7/8/15,7:55,n/a,pg,
Harrington North,7/10/15,7:14,15,pg,
Libby North/Sierra,7/11/15,8:45,17,pg,
Monroe Landing,6/24/15,625,12,pg,
Monroe Landing,7/1/15,630,8,pg,
Keystone,7/10/15,8:20,42,pg,
Mutiny Sands- INTERN,6/22/15,6:00,39,pg,on
Mutiny Sands- INTERN,6/24/15,6:00,32,pg,on
Fort Casey North,6/24/15,8:45,39,pg,
Cliffside,7/14/15,8:00,8,pg,
Harrington South,7/13/15,730,21,pg,
Mutiny Sands- INTERN,6/26/15,6:00,29,pg,on
Mutiny Sands- INTERN,6/30/15,6:00,29,pg,on
Rolling Hills #2,7/15/15,8:04,n/a,pg,
Rolling Hills #1,7/15/15,8:04,9,pg,
Mutiny Sands- INTERN,7/2/15,6:00,38,pg,on
Pratts Bluff- INTERN,7/15/15,6:00,25,pg,on
Pratts Bluff- INTERN,6/23/15,6:11,26,pg,on
Pratts Bluff- INTERN,6/25/15,6:00,27,pg,on
Lagoon Point South,7/13/17,7:15,37,pg,
Shore Meadows,7/15/15,700,85,pg,
Fort Casey North,7/4/15,8:45,33,pg,
Fort Casey North,7/11/15,8:35,31,pg,
Mutiny Sands- INTERN,7/16/15,6:00,47,pg,on
Lagoon North #1,7/16/15,820,57,pg,
Swantown,7/16/15,8:10,13,pg,
