site,date,start_time,end_time,PG_count,nest_count,burrow_visit,sculpin,gunnell,other,Disturbances
Monroe Landing,6/20/14,7:30,8:30,5,1,1,,,,
Monroe Landing,6/24/14,7:15,8:15,8,1,,,,,
Monroe Landing,6/27/14,7:40,8:40,5,1,,,,,
Monroe Landing,7/10/14,8:02,9:02,7,1,,,1,,
Monroe Landing,7/16/14,8:00,9:00,8,1,,,,,
Monroe Landing,7/25/14,8:40,9:40,11,1,,,1,,
Monroe Landing,7/31/14,8:35,9:35,11,1,,1,1,1,BE
Monroe Landing,8/5/14,8:25,9:25,11,1,,,,,
Monroe Landing,8/19/14,7:55,9:00,11,1,,,,,
Mutiny Sands,6/19/14,8:15,9:15,34,1,1,,,,
Mutiny Sands,6/25/14,8:05,9:05,11,3,2,,1,,
Mutiny Sands,7/3/14,8:10,9:10,44,4,2,,,,People
Mutiny Sands,7/10/14,8:00,9:00,7,5,2,,4,,"GBH, kayakers, wake, walker, power boad"
Mutiny Sands,7/17/14,8:00,9:00,41,11,5,8,3,,BE
Mutiny Sands,7/24/14,8:05,9:05,30,11,1,1,7,,
Mutiny Sands,7/31/14,8:00,9:00,56,13,24,,5,,"Walker, runner, crabber, power boat"
Mutiny Sands,8/7/14,7:50,8:50,4,13,1,1,3,,
Mutiny Sands,8/14/14,8:05,9:05,46,13,1,,4,,
Mutiny Sands,8/21/14,7:54,8:54,2,13,,,,,
Mutiny Sands,8/28/14,7:40,8:40,1,13,,,,,Man & dog
Mutiny Sands,9/4/14,7:49,8:15,0,13,,,,,
Possession Point,6/20/14,7:37,8:37,24,,,,,,
Possession Point,6/27/14,7:40,8:40,24,2,2,,,,
Possession Point,7/4/14,7:32,8:40,22,3,5,,,,
Possession Point,7/11/14,7:45,8:45,10,3,1,3,,,
Possession Point,7/18/14,7:52,8:52,24,3,,,3,,
Possession Point,7/25/14,7:20,8:29,16,3,1,4,,,
Possession Point,8/1/14,7:42,8:47,21,3,,2,,,
Possession Point,8/8/14,7:51,8:51,7,3,,,,,"kayakers, beach surveyors"
Possession Point,8/15/14,7:40,8:40,21,3,,,1,1,
Possession Point,8/30/14,7:48,8:48,2,3,,,,3,
Possession Point,8/22/14,7:45,8:45,4,3,,,,2,
Possession Point,9/5/14,7:33,8:33,0,,,,,,
Pratts Bluff,6/20/14,8:15,9:15,26,2,,1,,1,
Pratts Bluff,6/26/14,7:49,8:49,13,11,23,,1,,"Boat, people & dogs`"
Pratts Bluff,7/3/14,7:44,8:44,22,15,35,2,2,,
Pratts Bluff,7/10/14,7:48,8:48,,15,1,,3,,
Pratts Bluff,7/17/14,7:40,8:40,18,15,2,,10,,
Pratts Bluff,7/24/14,7:45,8:45,15,15,1,1,7,,
Pratts Bluff,7/31/14,7:40,8:40,26,15,,1,1,,BE
Pratts Bluff,8/7/14,7:34,8:40,25,15,,,,,
Pratts Bluff,8/14/14,7:35,8:35,25,15,,,,,
Rolling Hills #1,6/18/14,8:15,9:15,50,10,20,,2,,dog
Rolling Hills #1,6/25/14,8:00,9:00,21,11,5,,,,
Rolling Hills #1,7/2/14,8:13,9:13,38,11,18,,4,,
Rolling Hills #1,7/9/14,8:18,9:18,26,11,,1,7,,"GBH, BE"
Rolling Hills #1,7/16/14,8:18,9:18,43,11,11,1,1,2,"Gull, crows"
Rolling Hills #1,7/23/14,8:15,9:15,16,12,2,2,6,2,
Rolling Hills #1,7/30/14,8:00,9:00,40,14,63,2,1,,
Rolling Hills #1,8/6/14,8:06,9:06,20,14,,1,2,,
Rolling Hills #1,8/13/14,8:15,9:15,47,14,17,,1,,
Rolling Hills #1,8/20/14,8:20,9:20,7,14,,,1,,
