region,site,date,start_time,PG_count,count_type,intern_data
Whidbey,Mutiny Sands,8/9/12,6:50,,pg,on
Whidbey,Mutiny Sands,8/9/12,7:20,,pg,on
Whidbey,Mutiny Sands,8/9/12,7:50,,pg,on
Whidbey,Mutiny Sands,8/9/12,8:20,,pg,on
Whidbey,Mutiny Sands,8/9/12,8:50,,pg,on
Whidbey,Mutiny Sands,8/9/12,9:50,,pg,on
Whidbey,Mutiny Sands,8/9/12,10:20,,pg,on
Whidbey,Mutiny Sands,8/9/12,10:50,,pg,on
Whidbey,Mutiny Sands,8/16/12,6:00,,pg,on
Whidbey,Mutiny Sands,8/16/12,6:30,,pg,on
Whidbey,Mutiny Sands,8/16/12,7:00,,pg,on
Whidbey,Mutiny Sands,8/16/12,7:30,,pg,on
Whidbey,Mutiny Sands,8/16/12,8:00,,pg,on
Whidbey,Mutiny Sands,8/16/12,8:30,,pg,on
Whidbey,Mutiny Sands,8/16/12,9:00,,pg,on
Whidbey,Mutiny Sands,8/16/12,9:30,,pg,on
Whidbey,Mutiny Sands,8/16/12,10:00,,pg,on
Whidbey,Mutiny Sands,8/16/12,10:30,,pg,on
Whidbey,Mutiny Sands,8/23/12,6:00,,pg,on
Whidbey,Mutiny Sands,8/23/12,6:30,,pg,on
Whidbey,Mutiny Sands,8/23/12,7:00,,pg,on
Whidbey,Mutiny Sands,8/23/12,7:30,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/21/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,6/28/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/5/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/12/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/19/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,7/26/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/2/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/9/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/16/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,8/22/11,,,pg,on
Whidbey,Mutiny Sands,6/21/10,,,pg,on
