region,site,date,intern_data,burrow_name,visit_type,visits
Whidbey,Shore Meadows,8/9/17,,b.CV2,other,1
Whidbey,Shore Meadows,8/9/17,,b.22,noprey,2
Whidbey,Shore Meadows,8/9/17,,b.15,noprey,1
Whidbey,Shore Meadows,8/9/17,,b.18PK,noprey,1
Whidbey,Shore Meadows,8/9/17,,b.18PK,sculpin,1
Whidbey,Shore Meadows,8/9/17,,b.18PK,gunnels,1
Whidbey,Shore Meadows,8/9/17,,b.40,noprey,1
Whidbey,Shore Meadows,8/9/17,,b.40,other,1
Whidbey,Hastie Lake South,8/8/17,,b.4,gunnels,1
Whidbey,Hastie Lake South,8/8/17,,b.4,other,1
Whidbey,Lagoon South,8/10/17,,b.2A,gunnels,1
Whidbey,Lagoon South,8/10/17,,b.4A,sculpin,2
Whidbey,Lagoon South,8/10/17,,b.4B,sculpin,2
Whidbey,Lagoon South,8/10/17,,b.4B,other,1
Whidbey,Mutiny Sands,8/10/17,,b.4,sculpin,3
Whidbey,Mutiny Sands,8/10/17,,b.17,sculpin,1
Whidbey,Mutiny Sands,8/10/17,,b.18,other,1
Whidbey,Mutiny Sands,8/10/17,,b.24,sculpin,3
Whidbey,Ledgewood,7/25/17,,b.1,sculpin,4
Whidbey,Ledgewood,7/25/17,,b.4,sculpin,1
Whidbey,Ledgewood,7/25/17,,b.5A,sculpin,1
Whidbey,Ledgewood,8/2/17,,b.1,sculpin,2
Whidbey,Ledgewood,8/2/17,,b.1,other,1
Whidbey,Ledgewood,8/2/17,,b.4,other,1
Whidbey,Ledgewood,8/2/17,,b.SC1,sculpin,1
Whidbey,Ledgewood,8/2/17,,b.SC1,gunnels,1
Whidbey,Ledgewood,8/2/17,,b.5A,sculpin,3
Whidbey,Ledgewood,8/2/17,,b.7A,noprey,1
Whidbey,Ledgewood,8/2/17,,b.7A,sculpin,1
Whidbey,Ledgewood,8/2/17,,b.7B,noprey,1
Whidbey,Ledgewood,8/2/17,,b.11,noprey,2
Whidbey,Ledgewood,8/9/17,,b.SC1,gunnels,1
Whidbey,Cliffside,8/1/17,,b.3,noprey,1
Whidbey,Cliffside,8/1/17,,b.5,gunnels,2
Whidbey,Cliffside,8/8/17,,b.5,gunnels,3
Whidbey,Cliffside,8/8/17,,b.3,gunnels,2
Whidbey,Cliffside,8/8/17,,b.6,other,2
Whidbey,Forbes Point,8/11/17,,b.4,sculpin,1
Whidbey,Forbes Point,8/11/17,,b.4,gunnels,2
Whidbey,Forbes Point,8/11/17,,b.4,other,1
Whidbey,Double Bluff North,7/21/17,,b.B4,noprey,2
Whidbey,Double Bluff North,7/21/17,,b.B4,sculpin,1
Whidbey,Double Bluff North,7/21/17,,b.E3,gunnels,1
Whidbey,Double Bluff North,7/21/17,,b.E3,other,1
Whidbey,Double Bluff North,7/28/17,,b.A1,noprey,4
Whidbey,Double Bluff North,7/28/17,,b.B1,noprey,4
Whidbey,Double Bluff North,7/28/17,,b.B4,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.B2,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.C1,noprey,2
Whidbey,Double Bluff North,7/28/17,,b.D5,gunnels,1
Whidbey,Double Bluff North,7/28/17,,b.D1,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.D1,gunnels,1
Whidbey,Double Bluff North,7/28/17,,b.D7,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.D7,gunnels,1
Whidbey,Double Bluff North,7/28/17,,b.E1,noprey,4
Whidbey,Double Bluff North,7/28/17,,b.E2,noprey,2
Whidbey,Double Bluff North,7/28/17,,b.E3,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.E4,noprey,2
Whidbey,Double Bluff North,7/28/17,,b.E5,noprey,1
Whidbey,Double Bluff North,7/28/17,,b.E6,noprey,1
Whidbey,Double Bluff North,8/4/17,,b.D7,gunnels,1
Whidbey,Double Bluff North,8/4/17,,b.E3,sculpin,2
Whidbey,Double Bluff North,8/11/17,,b.B1,gunnels,1
Whidbey,Double Bluff North,8/11/17,,b.E7,sculpin,1
Whidbey,Double Bluff North,8/11/17,,b.E7,gunnels,1
Whidbey,Double Bluff South,7/27/17,,b.1,sculpin,1
