region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Coupeville Wharf,6/25/17,,,3,1,1,,,
Whidbey,Coupeville Wharf,7/2/17,,,5,0,0,,,
Whidbey,Coupeville Wharf,7/9/17,,,4,0,0,,,
Whidbey,Coupeville Wharf,7/16/17,,,5,1,1,,,
Whidbey,Coupeville Wharf,7/23/17,,,5,0,0,,,
Whidbey,Coupeville Wharf,7/30/17,,,6,1,2,,,
Whidbey,Coupeville Wharf,8/6/17,,,6,1,1,,,
Whidbey,Coupeville Wharf,8/12/17,,,8,1,3,,,
Whidbey,Coupeville Wharf,8/20/17,,,8,0,0,,,
Whidbey,Coupeville Wharf,8/27/17,,,2,0,0,,,
Whidbey,Coupeville Wharf,9/3/17,,,0,0,0,,,
Whidbey,Crescent Harbor,6/29/11,7:50,9:00,15,,,,,
Whidbey,Crescent Harbor,7/5/11,7:20,8:30,12,,,,,
Whidbey,Crescent Harbor,7/12/11,7:30,8:30,4,0,,,,
Whidbey,Crescent Harbor,6/29/09,8:20,9:50,10,1,,,,
Whidbey,Crescent Harbor,7/6/09,8:30,9:30,5,2,,,,
Whidbey,Crescent Harbor,7/14/09,7:50,8:52,18,2,,,,
Whidbey,Crescent Harbor,7/20/09,8:30,9:30,10,3,,,,
Whidbey,Crescent Harbor,7/27/09,8:05,9:05,15,3,,,,
Whidbey,Crescent Harbor,8/3/09,8:00,9:00,7,3,,,,
Whidbey,Crescent Harbor,8/10/09,8:05,9:05,6,3,,,,
Whidbey,Crescent Harbor,8/17/09,8:08,9:10,9,3,,,,
Whidbey,Crescent Harbor,6/28/08,6:30,7:30,14,9,,,,
Whidbey,Crescent Harbor,7/5/08,7:00,8:00,11,9,,,,
Whidbey,Crescent Harbor,7/14/08,8:00,9:00,12,9,,,,
Whidbey,Crescent Harbor,7/19/08,8:00,9:00,8,9,,,,
Whidbey,Crescent Harbor,7/30/08,7:00,8:00,10,9,,,,
Whidbey,Crescent Harbor,8/6/08,7:00,8:00,12,,,,,
Whidbey,Double Bluff North,6/20/14,8:25,9:31,52,10,26,,,
Whidbey,Double Bluff North,6/27/14,8:28,9:35,25,12,1,,,
Whidbey,Double Bluff North,7/3/14,7:40,8:47,63,15,3,,,
Whidbey,Double Bluff North,7/11/14,8:10,9:20,19,15,,,,
Whidbey,Double Bluff North,7/18/14,8:15,9:24,71,18,12,,,
Whidbey,Double Bluff North,7/25/14,8:14,8:15,19,18,,,,
Whidbey,Double Bluff North,8/1/14,8:10,9:22,80,18,5,,,
Whidbey,Double Bluff North,8/7/14,8:15,9:25,16,19,,,,
Whidbey,Double Bluff North,8/14/14,8:20,9:28,63,19,,,,
Whidbey,Double Bluff North,8/21/14,8:15,9:22,1,19,,,,
Whidbey,Double Bluff North,7/1/10,8:35,9:46,99,20,36,,,
Whidbey,Double Bluff North,7/10/10,8:30,9:40,48,23,5,,,
Whidbey,Double Bluff North,7/14/10,8:20,9:25,79,28,11,,,
Whidbey,Double Bluff North,7/21/10,8:25,9:31,72,29,8,,,
Whidbey,Double Bluff North,7/28/10,8:45,10:00,105,32,20,,,
Whidbey,Double Bluff North,8/4/10,8:25,9:31,99,33,2,,,
Whidbey,Double Bluff North,8/11/10,8:30,9:43,63,33,2,,,
