Site,Date,Count,Count type,Comment,QAQC,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/11/2015,12,Start,All Butterball south A and B counts are combined with Butterball north counts (we think); a couple of surveys had subcounts for south A but these were not available for most of them,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/11/2015,7,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/11/2015,7,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/18/2015,9,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/18/2015,7,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/18/2015,6,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/25/2015,12,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/25/2015,17,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,6/25/2015,6,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/2/2015,7,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/2/2015,4,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/2/2015,8,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/9/2015,6,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/9/2015,3,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/9/2015,9,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/15/2015,8,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/15/2015,2,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/15/2015,9,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/23/2015,6,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/23/2015,9,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/23/2015,4,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/6/2015,0,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/6/2015,11,Middle,,Y,,,,,,,,,,,,,,,,,,,,
